"ID","UPA","EventDate","Employer","Address1","Address2","City","State","Zip","Latitude","Longitude","Primary NAICS","Hospitalized","Amputation","Inspection","Final Narrative","Nature","NatureTitle","Part of Body","Part of Body Title","Event","EventTitle","Source","SourceTitle","Secondary Source","Secondary Source Title"
"20161110489","1153985",11/7/2016,"Glynn Electric, Inc.","150 Flanders Rd",,"WESTBOROUGH","MASSACHUSETTS","01581",42.27,-71.56,"238210",1.00,0.00,"1190178","While installing a light fixture, an employee was shocked and fell from a ladder, hitting the ground and suffering a lower back injury. The employee was hospitalized.","1972","Soreness, pain, hurt-nonspecified injury","322","Lumbar region","4330","Other fall to lower level, unspecified","7420","Movable ladders, unspecified","2241","Lamps, light fixtures"
"20161110490","1154492",11/7/2016,"GRAPHIC PACKAGING INTERNATIONAL, INC.","1171 W. CENTER ST.",,"MARION","OHIO","43302",40.58,-83.15,"322212",1.00,1.00,"1192985","An employee was clearing a jam on the printing press and sustained a partial amputation of the left ring finger and a laceration to the left middle finger.","1311","Amputations","4420","Finger(s), fingernail(s), unspecified","6411","Caught in running equipment or machinery during maintenance, cleaning ","3753","Presses-printing",,
"20161110491","1159611",11/7/2016,"Ryco, Inc.","325 Granville Square",,"GRANVILLE","WEST VIRGINIA","26534",39.64,-79.98,"238220",1.00,0.00,"1194571","On November 7, 2016, at approximately 8:15 a.m., an employee on a ladder was installing an overhead gas line approximately 12 feet above the ground. A coworker climbed the backside of the employee's 10-foot fiberglass ladder, causing the support rungs to bend and the ladder to collapse. The employee fell to the concrete below and was hospitalized for a fractured collarbone and punctured lung.","194","Internal injuries to organs and blood vessels of the trunk","310","Chest, except internal location of diseases or disorders","4313","Fall from collapsing structure or equipment 11 to 15 feet ","7422","Step ladders",,
"20161110493","1155145",11/7/2016,"Verrier Tree Service Inc.","753 Nooseneck Hill Road",,"WEST GREENWICH","RHODE ISLAND","02817",41.62,-71.63,"561730",1.00,0.00,,"On 11/07/2016, an employee was standing on a tire when he slipped and fell 3 feet to the ground, suffering a hip fracture. He was hospitalized and required surgery.","111","Fractures","341","Hip(s)","4331","Other fall to lower level less than 6 feet","80","Vehicle, unspecified",,
"20161110494","1155216",11/7/2016,"Premium Waters, Inc.","5651 Alliance Gateway Freeway",,"FORT WORTH","TEXAS","76177",32.98,-97.24,"312112",1.00,0.00,,"An employee was removing a loose board from the floor of a trailer when he lost his grip and stepped on a nail sticking out of the floor, puncturing his left foot.","133","Puncture wounds, except gunshot wounds","530","Foot (feet), unspecified","6321","Stepped on object ","4212","Nails, brads, tacks, nuts, bolts, washers",,
"20161110495","1154345",11/7/2016,"Hartson Kennedy","10115 Lorrianne Road",,"GULFPORT","MISSISSIPPI","39503",30.43,-89.03,"337110",1.00,1.00,"1189901","A temporary employee was sawing wood with a table saw when the saw amputated his right thumb tip.","1311","Amputations","4422","Fingertip(s)","6311","Struck against moving part of machinery or equipment","3573","Table saws",,
"20161110496","1154482",11/7/2016,"Southern Acoustics, Inc.","Second Harvest Food Bank","411 Mercy Dr.","ORLANDO","FLORIDA","32805",28.53,-81.40,"238310",1.00,0.00,"1193703","An employee was installing acoustic panels while standing on a Perry scaffold system. The system became unstable and the employee fell breaking the left leg.","111","Fractures","510","Leg(s), unspecified","4330","Other fall to lower level, unspecified","6342","Scaffolds-self-supporting staging",,
"20161111147","1160914",11/7/2016,"Texas Electric Cooperatives, Inc.","2240 Bevil Loop Road",,"JASPER","TEXAS","75951",30.90,-93.98,"321114",1.00,0.00,,"On 11/07/2016, an employee was working in the waste area of two mills where a waste block was hung between a shaker and conveyor belt. The employee was going to pull the waste block out when the sleeve of his jacket was caught and pulled his hand between the waste block and the conveyor belt. The flesh of his hand was pulled back, requiring surgery.","1312","Avulsions, enucleations","440","Hand(s), unspecified","6412","Caught in running equipment or machinery during regular operation","3421","Conveyors-belt","9115","Suits, coats, jackets"
"20161110499","1154555",11/8/2016,"CHADCO Inc.","286 Knox Road 850E",,"LONDON MILLS","ILLINOIS","61544",40.69,-90.25,"238290",1.00,0.00,"1192088","An employee was installing a grain bin while standing on a ladder when a nearby coworker's ladder fell on him, causing him to fall 13 to 15 feet to the ground below. He suffered a broken left arm and facial cuts.","111","Fractures","420","Arm(s), unspecified","4333","Other fall to lower level 11 to 15 feet ","740","Ladders, unspecified","7420","Movable ladders, unspecified"
"20161110500","1154558",11/8/2016,"CARGILL MEAT SOLUTIONS CORPORATION","1505 E. BURLINGTON AVENUE",,"FORT MORGAN","COLORADO","80701",40.24,-103.77,"311611",1.00,0.00,,"An employee was walking down a staircase when he overstepped from the second-to-last-step to the bottom of the staircase and fell forward onto his knees. The patella tendons were torn in both of his knees, requiring surgery and hospitalization.","1231","Major tears to muscles, tendons, ligaments","512","Knee(s)","4331","Other fall to lower level less than 6 feet","6611","Stairs, steps-indoors",,
